title,external_link,date,source
Integrating Satellite Data with Local Knowledge for Community Empowerment,https://servir.icrisat.org/integrating-satellite-data-with-local-knowledge-for-community-empowerment/,2024-05-13,g
Automated Weather Insurance Could Offer Help in an Increasingly Hot World,https://www.bloomberg.com/news/articles/2023-07-10/during-wildfire-hurricane-season-new-weather-insurance-could-help-homeowners?embedded-checkout=true,2023-07-10,g
How is climate change limiting access to insurance?,https://www.eco-business.com/news/how-is-climate-change-limiting-access-to-insurance/,2023-06-05,g
How is climate change limiting access to insurance?,https://www.context.news/climate-risks/how-is-climate-change-limiting-access-to-insurance,2023-05-31,g
Study Findings from Columbia University Broaden Understanding of Agriculture,https://insurancenewsnet.com/oarticle/study-findings-from-columbia-university-broaden-understanding-of-agriculture-an-information-theoretic-approach-to-reconciling-historical-climate-observations-and-impacts-on-agriculture-agriculture,2022-10-25,g
Using Tech to Help African Farmers Collect Index Insurance Payouts,https://www.engineering.columbia.edu/news/using-tech-help-african-farmers-collect-payouts,2022-08-15,g
Voices of CS: Zachary Huang,https://www.cs.columbia.edu/2022/voices-of-cs-zachary-huang/,2022-05-24,g
"As cities bake on a warming planet, insurers cook up heatwave cover",https://www.reuters.com/article/heatwave-insurance-climatechange/analysis-as-cities-bake-on-a-warming-planet-insurers-cook-up-heatwave-cover-idUSL8N2GS56K,2020-10-05,g
Bangladesh:Climate risk insurance gets major boost,https://www.asiainsurancereview.com/News/View-NewsLetter-Article/id/72453/Type/eDaily/Bangladesh-Climate-risk-insurance-gets-major-boost,2020-07-03,g
What happens when natural disaster strikes during a pandemic?,http://www.ilstv.com/what-happens-when-natural-disaster-strikes-during-a-pandemic/,2020-04-29,g
Feminist Finance with Rahel Diro,https://www.listennotes.com/podcasts/the-feminist/3-feminist-finance-with-SWM10nRPha6/,2019-12-20,g
Re/Insurance: Early &#8220;2019 hurricane forecast points to slower season if El Niño holds&#8221;,http://climateerinvest.blogspot.com/2019/03/reinsurance-early-2019-hurricane.html,2019-03-28,g
It’s Like It Never Left: Another El Niño May Be on the Way,https://www.nytimes.com/2017/04/13/climate/el-nino-climate-change.html?_r=1,2017-04-13,g
A super-nerdy insurance plan could save poor countries from damage caused by climate change,https://qz.com/840570/a-super-nerdy-insurance-plan-could-save-poor-countries-from-damage-caused-by-climate-change/,2016-11-18,g
Weather-based insurance &#8216;could benefit smallholders&#8217;,http://www.scidev.net/sub-saharan-africa/agriculture/news/weather-based-insurance.html,2015-02-10,g
Study: Weather-Based Insurance Benefits Farmers,http://www.voanews.com/content/weather-index-science-farmers-insurance-climate-study-crops-ccafs-cgiar/2630164.html,2015-02-05,g
Millions of poor farmers to benefit from new type of insurance &#8211; study,http://www.reuters.com/article/2015/01/29/food-africa-india-idUSL6N0V83VK20150129,2015-01-30,g
Millions of poor farmers to benefit from new type of insurance &#8211; study,http://www.reuters.com/article/2015/01/29/food-africa-india-idUSL6N0V83VK20150129,2015-01-29,g
2 million African farmers insured for weather &#038; catastrophe risks: Swiss Re,http://www.artemis.bm/blog/2015/01/29/2-million-african-farmers-insured-for-weather-catastrophe-risks-swiss-re/,2015-01-29,g
Weather Index Insurance &#8211; a Powerful Tool Against Hunger,http://allafrica.com/stories/201501291623.html,2015-01-28,g
Climate-linked insurance could help poor farmers offset crop failure risk,http://america.aljazeera.com/articles/2015/1/26/index-insurance-helps-poor-farmers.html,2015-01-27,g
Remote sensing for index insurance: innovations in smallholder risk management,http://ifad-un.blogspot.com/2014/12/remote-sensing-for-index-insurance.html?m=1,2014-12-12,g
Ganaderos confían en nuevo producto Seguro de Índice de Sequía,http://www.fundacionreddom.org/ganaderos-confian-en-nuevo-producto-seguro-de-indice-de-sequia/,2014-02-06,g
Seguro de índice sequía se venderá a partir de octubre 2014,http://www.fundacionreddom.org/simulan-funcionamiento-seguro-de-indice-sequia-basado-en-tecnologia-satelital-mas-confiable/,2014-01-31,g
Capacitan a ganaderos para enfrentar sequía,http://www.listin.com.do/economia-and-negocios/2014/1/28/308647/Capacitan-a-ganaderos-para-enfrentar-sequia,2014-01-29,g
Presidente FEDEGANO valora esfuerzo superar sequías auspiciado por USAID y REDDOM,http://www.fundacionreddom.org/presidente-fedegano-valora-esfuerzo-superar-sequias-auspiciado-por-usaid-y-reddom/,2014-01-28,g
Ganaderos participarán de un simulacro de funcionamiento del primer seguro de  índice de sequía,http://www.lainformacion.com.do/noticias/economia/17220/ganaderos-participaran-de-un-simulacro-de-funcionamiento-del-primer-seguro-de-indice-de-sequia,2014-01-27,g
Ganaderos participarán en un simulacro sobre índice de sequía,http://hoy.com.do/ganaderos-participaran-en-un-simulacro-sobre-indice-de-sequia/,2014-01-27,g
A call to action: building an index insurance community in Bangladesh,http://www.ccafs.cgiar.org/blog/call-action-building-index-insurance-community-bangladesh#.Umqfc5GrH1t,2013-10-09,g
"Interview with Dr Lisa Goddard, Director, International Research Institute for Climate and Society",http://www.research-europe.com/index.php/2013/07/dr-lisa-goddard-director-international-research-institute-for-climate-and-society-2/,2013-07-26,g
USAID impulsará seguro para agricultores,http://www.diariolibre.com/noticias/2013/02/12/i371097_usaid-impulsara-seguro-para-agricultores.html?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_1,2013-02-12,g
USAID y REDDOM impulsarán seguro agrícola indexado para recuperar daños por cambio climático,http://lanaciondominicana.com/ver_noticia.php?id_noticia=38711&sesion_periodico=31,2013-02-11,g
African Small Scale Farmers Insurance Payout Triggered by Satellite Technology,http://www.africasciencenews.org/en/index.php?option=com_content&view=article&id=706:african-small-scale-farmers-insurance-payout-triggered-by-satellite-technology&catid=49:food&Itemid=113,2012-12-11,g
